	sample_name_R	SBS_LIV_A	SBS_LIV_B	SBS_LIV_C	SBS_LIV_D	SBS_LIV_E	SBS_LIV_F	SBS_LIV_G	SBS_LIV_H	SBS_LIV_I	SBS_LIV_J	SBS_LIV_K	SBS_LIV_L	SBS_LIV_M
224	PD37105b_lo029	4.90064720672011e-09	305.32843393967	4.63362815167087	159.918905167187	50.7269815488243	228.174400323253	39.5163941704157	34.3572076820574	22.4369264055545	507.729664919717	82.8238458744161	86.7805383413628	110.588631936239
225	PD37105b_lo030	140.319028133662	261.430852818127	40.0999891490713	88.563951219936	16.1606997983403	100.98367011454	206.076413878323	94.4061103056389	2.7576690341277e-12	522.053476251499	56.2854287367032	81.376325195215	52.2571273769812
226	PD37105b_lo031	234.610232369343	228.319193171864	20.1281534857435	93.6413811292158	19.7243856395198	139.093279495432	21.8969963006432	43.4799898654284	70.353340588663	427.606566935253	24.5613052456879	206.539318210001	108.062025434283
227	PD37105b_lo033	135.926232404754	132.480831269586	45.3470521283646	246.866732800622	46.8340626732997	104.221992324564	2.12327752327022e-06	0.00117074054463174	0.00113178558542049	509.76998569068	109.783013122865	93.7527086517539	212.036850627418
228	PD37105b_lo034	87.7000538810457	62.5052551572365	2.89443777424591e-12	17.2532859930571	43.1332023788789	87.1772819208086	78.2476412615417	33.0993088791932	18.8773988632814	284.151561776504	26.9180160326657	15.4844284686199	135.468534979068
229	PD37105b_lo036	22.3910065259189	79.8352671577839	33.7464142101554	159.369988670429	119.949978879786	386.722991335533	165.833058842257	105.473951765248	112.83795156817	527.045003176428	116.602347483271	100.088975392788	80.1157450790028
230	PD37105b_lo037	84.171696481975	155.941726196324	4.78312482219389	173.989845880186	10.8289129535305	91.9479945277978	20.5936626958085	17.3720536519988	2.64506022526136	154.199105296211	59.7027335338314	109.047200804974	45.7963059132304
231	PD37105b_lo039	216.794485945611	177.628732725153	68.4659775029498	135.78694575074	68.5189090243085	93.1089671385184	118.315529198702	39.5737109936639	46.4478093472762	402.736730996805	38.5849813292903	3.75109518456845e-09	95.0537096426482
232	PD37105b_lo040	136.756684530951	396.417355711249	32.2032776071492	198.221572978019	55.3441790609019	209.639954090499	30.3915970133976	267.418582497984	26.3642188246756	152.213030869419	103.305125528338	171.214460488635	153.52402552017
233	PD37107a	112.773976012169	1142.63483074706	169.017188965125	497.59217977745	464.669281721321	291.119991626019	691.301782334788	824.653492352656	311.956978040072	406.120857584923	420.583916614996	623.715435802023	833.881368444147
234	PD37107b_lo001	313.294205823856	24.1650151295915	17.118586015596	387.658915330671	245.39882219689	2.90456336997174e-12	6.26639902572675e-11	54.6184109784068	114.35837348498	107.284188149328	67.6423360768822	178.491932106464	3.0241901821052e-07
235	PD37107b_lo002	336.470375734438	6.14701218992836e-07	7.53605296803654	397.45924399672	243.801006290006	2.90456336997174e-12	1.19464027705719e-06	89.2547221271935	136.19073631532	125.746857849008	96.7126240129118	161.85991043192	4.28617653840486e-12
236	PD37107b_lo003	69.2246910886739	74.5570788082022	32.3631342905536	290.005685433773	322.478403547549	40.6016510109498	54.6170139867662	91.9770218965571	82.6385990022052	360.277258319845	19.5322510049068	58.9923974118233	31.7627200920751
237	PD37107b_lo004	39.126281369914	217.075793787515	14.2634407694303	182.228889264416	119.751737076277	107.235486412219	80.1827667033579	37.2937530945891	17.1072427251694	215.045784412491	11.7074406920902	3.34580881859185e-12	5.35113189991277e-05
238	PD37107b_lo005	142.666410805771	23.7915130132757	12.5902680894567	3.52116694489738e-12	394.743146502844	101.863303782192	24.8787217571881	111.305885790342	2.7576690341277e-12	60.6466850836291	9.06363425113968	59.480940322124	81.9835611791898
239	PD37107b_lo006	148.596839708385	199.899747317254	46.5786783434082	379.895059054319	1354.19700268751	95.6339161087184	243.656814323163	6.68943511683468e-12	54.183624442287	110.07935188372	88.0686964476736	87.8818357558248	268.354562428246
240	PD37107b_lo007	391.359488325765	0.00173089237776367	6.48822908459428	404.253845809801	240.24794766149	2.90456336997174e-12	4.13118748684001	51.0547476925209	127.583186938898	79.0942085246186	65.0130197795883	199.803319002724	3.74852271774482e-12
